Name,Content_Warning,Related_Mange,staff
"Kono Healer, Mendokusai",,"Kono Healer, Mendokusai","Tannen Ni Hakkou : Original Creator, Nobuaki Nakanishi : Director, Fumihiko Shimo : Series Composition, Chisato Kikunaga : Character Design"
Xiyue Qi Tong,,,
Hong Lingjin Yu Wang Xiaoming,,,Dong Chun : Director
Shin Ikkitousen,,Shin Ikkitousen,
Space Shower TV BIG HITS! ID (Takuya Hosogane),,,"Takuya Hosogane : Director, Cubesato : Music"
ROBOTTING,,,"Kunio Kato : Director, Takashi Kurihara : Director"
Mobile Suit Gundam: Suisei no Majo,,,
Cardfight!! Vanguard: overDress 3rd Season,,,
POWER DOWN,,,"Marilou Soller : Director, Marty Hicks : Music, Mitsuko Okamoto : Producer"
23.exe: TYFW,,,"23.Exe : Producer & Song Composition, Miku Hatsune : Song Performance, Ia : Song Performance"
The Domino,,,"Masaya Tsujimoto : Director, Natsuki Kameda : Director, Takashi Shintani : Director, Syoma Tanaike : Director, Takahiro Kobayashi : Director, Hiroaki Sakakura : Director"
Bu Gu Niao Jiao Chi Le,,,
Qiang Shang De Hua,,,
Qi Qi Ping Ping 2nd Season,,,
Shuo Guo Lei Lei 2nd Season,,,
Bai Shou Zong Dong Yuan: Konglong Yongshi Dang An,,,
Zombie Land Saga Movie,,,
Mole Zhuang Yuan 2nd Season,,,
Jin Se De Da Yan,,,
Xiao Lin Riji,,,
Dubu Xinghai,,,
Sugai-kun to Kazoku Ishi,,,
Musunde Hiraite,,Musunde Hiraite,"Mayu Minase : Original Creator, Hisayoshi Hirasawa : Director"
Hon Maguro Toro Taro: Shizuoka ga Dai Sushi!,,,
Huo Feng Liao Yuan,,The Ravages of Time,Mou Chen : Original Creator
Saezuru Tori wa Habatakanai: The Storm Breaks,,,
Yama to Hito,,,Taketo Shinkai : Director
Ichimai no Etegami,,,
Hitoribotchi,,,
GJ8 Man: Kieta Shamisen,,,
Taka no Tsume-dan no JBC Daisakusen: Koi no Road to JBC,,,
Thermae Romae Novae,,Thermae Romae,"Mari Yamazaki : Original Creator, Tetsuya Tatamitani : Director"
Encounter,,,"Qing Wang : Director, Siqi Song : Director"
The Empress,,,
Aka-chan Honbuchou,,Aka-chan Honbuchou,Sachiko Takeuchi : Original Creator
Xiao Hua Xian 4,,,
Zou no Hanako,,,Dai Matsumoto : Director
Rib: Akaito,,,"Chris : Director, Rib : Song Performance, Mikito-P : Song Composition & Song Lyrics"
Xiamen Zhi Xia,,,
Cubistar,,,
Chuanyue Yunnan Sanqiannian: Yun Xiao Zhi Man Youji,,,
The Affairs: First Time,,,"He Lo : Director, Wenhsing Wang : Music"
WIND,,,Nobuhiro Aihara : Director
At The Mouth Of Summer,,,"Liu Xinxin : Director, Li Yingzi : Music, Koji Yamamura : Producer"
tough guy!,,,Shintaro Kishimoto : Director
Yuren Mai Xie,,,
Bai Shou Zong Dong Yuan,,,
Dan Dan Zong Dong Yuan,,,
Yuan Zhi Wu,,,
Bangongshi Na Dian Shi Er,,,
Alan Jiaoshou De Mofa Zhipai,,,
Mountain,,,"Hiroyuki Oohashi : Original Creator, Kenji Iwaisawa : Director"
He de Chuanshuo,,,
Shi Shi Zi,,,
Fanren Xiu Xian Chuan: Mo Dao Zheng Feng,,,
Ci Wawa,,,
Hakkiri Kotowarou: Yuukai Sare Nai zo!,,,
Axel: The Biggest Little Hero,,,
Moonrise,,,
Huainanzi Chuanqi,,,
Shishigari,,,"Kiyotaka Oshiyama : Director, Kenji Kawai : Music"
Sore Ike! Anpanman: Fuwafuwa Fuwari to Kumo no Kuni,,,Takashi Yanase : Original Creator
Utau Soccer Panda Mifanda,,,
Ponsuke no Udekurabe,,,
Utau Soccer Panda Mifanda: Section 0 Additional Time,,,
ASTAR-reul Hyanghae Chaguchagu,,,
Kkumui Wangguk Sofy Ruby,,,
Electro Boy 3rd Season,,,
Ygg no Tori,,,"Mariko Saito : Director, Noriko Iida : Music, Yuichi Ito : Producer"
Stand My Heroes OVA,,,
flue: Alphabed in,,,"Minori Yamada : Director, Flue : Song Performance"
Shikong Long Qishi,,,
Nue,Explicit Violence,,Ryou Shimura : Director
Ashuai 5th Season,,,
Rich Keikan Cash!,,Rich Keikan Cash!,Sakuya Kuroda : Original Creator
Lao Xiao Effendi,,,
Da Daozei,,,
Huayu Cheng Xing,,,
Kuaile Xiao Ji,,,
Mourning Ice Pop,,,Kenji Iwaisawa : Director
Nicky,,,"Kenji Iwaisawa : Director, Yusuke Odagiri : Music"
Fussa Dancing Animation,,,Kenji Iwaisawa : Director
Taro Wanted to be Water,,Tarou wa Mizu ni Naritakatta,"Hiroyuki Oohashi : Original Creator, Kenji Iwaisawa : Director"
Petal,,,Leina Muramatsu : Director
Sorairo Hanairo,,,Tomoyasu Murata : Director
Zhang Le Tui de Mang Guo,,,
McDull: Gushi,,,
Hyaku,,,Mebae : Director
Shiritori Mambo,,,"Tadahiko Horiguchi : Director, Kazuo Kumakura : Song Performance, Happy Life : Song Performance, Ichinen Miura : Song Arrangement & Song Composition"
towa,,,"Akino Fukuji : Director, Memmy Lapin : Music"
Yoh Kamiyama: Sugar Highway,,,"Takumi Shiga : Director, Yoh Kamiyama : Song Lyrics & Song Performance"
Asonde Oboeru Gakushuu DVD,,,
Gou-chan. Moko to Koori no Ue no Yakusoku,,,Tetsuo Yasumi : Director
Chikasugi Idol Akae-chan Specials,,,
Ninja Tamamaru: Rule wo Mamotte Koutsuu Anzen! no Maki,,,
The Planet of Stray Cats,,,
Bakusou Circuit Roman Twin,,,"Osamu Sekita : Director, Tsuneo Ninomiya : Character Design"
Doctor Mambo to Kaitou Jibako: Uchuu yori Ai wo Komete!!,,,
Kao An,,,
Kung Fu Dino Posse,,,
Sigan Yeohaengja Luke,,,
Taikong Xiha Zu,,,
Bath House of Whales,,,"Mizuki Kiyama : Director, Taeil Lee : Music, Koji Yamamura : Producer"
Huo Huo Tu,,,
Xiaopin Yijia Ren: Baoxiao Xiaoyuan Pian,,,
Rain: Memory Cloud. 1,,,Nobuhiro Aihara : Director
The Third Eye,,,Nobuhiro Aihara : Director
Tonbo,Nudity,,"Nobuhiro Aihara : Director, Ra : Music"
Xiaohu Huan Xiang,,,
Gu Dong Lai Le,,,
Fengyu Lang Qiao,Violence,,
Han Niu Yu Mu Tong,,,
Shui Lu,,,
Lao Zhu Xuan Mao,,,
Qian......,,,
Renshen Wawa,,,
Mole Zhuang Yuan 3rd Season,,,
Fei Lan Fu,,,
Aware! Meisaku-kun 5,,,"Taketo Shinkai : Director, Jun Oson : Character Design"
Xiao Ya Ga Ga,,,
Hu Shang Ge Wu,,,
Ya Boy Kongming!,,Ya Boy Kongming!,"Yuto Yotsuba : Original Creator, Ryou Ogawara : Original Creator, Osamu Honma : Director, Genki Hikota : Music, Kanami Sekiguchi : Character Design"
Wuxian Shijie,,,
Mameshiba 2nd Season,,,
Feng Qi Luoyang Zhi Shen Ji Shaonian,,,
My Dear Flesh,,,"Moe Koyano : Director, Takayuki Ito : Music, Koji Yamamura : Producer"
Ki wo Tsukeyou: Douro wa Kiken ga Ippai!,,,
The Dreams of Jinsha,,,
Kaeru Ouji to Imomushi Henry,,,
Late Night! The Genius Bakabon Specials,,,
Monkey Gang Anarchy,,,"Yuuichirou Hayashi : Director, Ryuuichi Takada : Music, Makoto Kanemoto : Cg Director"
Marin to Yamato: Fushigi na Nichiyoubi,,,Ryou Yasumura : Director
Ujudaejang Aekkunun,,,"Dae-Jung Kim : Director, Min-Seob Jeong : Music"
Shima Shima Tora no Shimajirou no Koutsuu Anzen,,,
Appare! Momotarou no Koutsuu Anzen,,,
Kanashii Asa Gohan,,,Hiroco Ichinose : Director
Sylvanian Families,,,"Akira Takamura : Director, Kouichirou Kameyama : Music, Takashi Kawaguchi : Producer, Yumiko Murai : Producer"
Tetsuwan Atom to Sagurou! Dosei wo Mawaru Shinpi no Hoshi Titan,,,
Pleasant Goat and Big Big Wolf: Mighty Goat Squad,,,
Oyasuminasai,,,
Rain Drops,,,"Satomi Usui : Director, Mari Ohno : Music, Mitsuko Okamoto : Producer"
Moguai Che Xiaodui,,,
Osomatsu-san (2023),,"Osomatsu-kun, Osomatsu-san",
The North Face Japan: AiryString,,,"Taro Mizutani : Director, Riki Hidaka : Music, Densuke28 : Animation Director"
Phantasm,,,Taro Shinkai : Director
Under Ninja,,Under Ninja,Kengo Hanazawa : Original Creator
Onyankopon PV,,,
Hen Chun Hen Aimei,,"Very Pure and Ambiguous: The Prequel (Novel), So Pure, So Flirtatious (Novel), So Pure, So Flirtatious",Fishman The Second : Original Creator
Tiancai Zaji Yanyuan,,,
Shuta Hasunuma Philharmonic Orchestra: Meeting Place,,,"Shuta Hasunuma : Director, Masanao Hirayama : Art Director, Shuta Hasunuma Philharmonic Orchestra : Song Performance"
Chaoji Gongcheng Xiao Fendui,,,
Jili Yu Gulu,,,
Man in the Tunnel Alley,,,Kenji Iwaisawa : Director
Love Live! Superstar!! Season 2,,,
Zhong Li,,,
Di Kang,,,
Qu Qu,,,
Xiao Hong Lian He Xiao Lan Lian,,,
Hua Lang Yi Ye,,,
How to Eat Your Apple,,,Erick Oh : Director
Dr. Stone (2023),,Dr. Stone,
Tanoshii Ekaki Uta,,,
Guobao Te Gong 2nd Season,,,
Miaowu Shi Shui Jiaode?,,,
Pic-lele,,,
15 Sonyeon Uju Pyoryugi,,,
Sakura to Sakurin,,,
Shura ga Yuku,,Shura ga Yuku,"Masato Yamaguchi : Original Creator, Masamune Ochiai : Director, Hitoshi Nagao : Art Director, Tsuneo Seto : Producer, Noriko Nishino : Producer"
Kitsune to Budou,,,
Genkichi Jiisan to Kogitsune,,,
Pleasant Goat and Big Big Wolf: Mighty Little Defenders 4,,,
Pleasant Goat and Big Big Wolf: Man Jing Tou,,,
Fuuto PI,,Kamen Rider W: Fuuto Tantei,"Riku Sanjo : Original Creator, Yousuke Kabashima : Director, Kotaro Nakagawa : Music, Shuhei Naruse : Music, Hidekazu Ebina : Character Design"
Zhenwu Dianfeng,,,
Jing Cui Xian Zun,,,
Ken Aoki: Hashiru Machi,,,"Kazuhiko Okushita : Director, Ken Aoki : Music & Song Performance"
The Laws of the Universe: Part 2,,,"Isamu Imakake : Director & Character Design, Yuichi Mizusawa : Music"
Suo Long Gu,,,
Tuzi Bei Bei,,,
Doraon Yeongung Hong Gildong,,,
Uchi no Shishou wa Shippo ga Nai,,My Master Has No Tail,"Tnsk : Original Creator, Hideyo Yamamoto : Director, Touko Machida : Series Composition, Ryou Yamauchi : Character Design"
Miminari,,,Nobuhiro Aihara : Director
Opette,,,Asami Ike : Director
Strange Reitaro: humming bird,,,"Takaharu Shimizu : Director, Strange Reitaro : Song Performance"
Mobile Suit Gundam SEED PROJECT Ignited,,,Mitsuo Fukuda : Director
Meijian Chi,,,
Nu Huo Bu Tian,,,
Mei Ya De Laohu,,,
Wang Qi Dao Ci Yi You,,,
Cong Ming De Yazi,,,
Xiao Hou Yu Bai Pang,,,
Zhao Xiao Ge Ge,,,
Yuan Long 3rd Season,,Yuan Long (Novel),
Beat & Motion,,,Naoki Fujita : Original Creator
Heart,,,"Erick Oh : Director, Joseph Trapanese : Music"
Kimi wa Houkago Insomnia,,Kimi wa Houkago Insomnia,Makoto Ojiro : Original Creator
Pluto,,Pluto,"Naoki Urasawa : Original Creator, Osamu Tezuka : Original Creator"
RE:Map,,,
Koeda-chan,,,
Kikansha Sensei,,,"Kouzou Kusuba : Director, Kei Wakakusa : Music, Shunji Saida : Character Design, Katsuaki Takemoto : Producer, Kazuyoshi Seki : Producer"
Onimaru: Senjou ni Kakeru Itsutsu no Seishun,,,"Satoshi Dezaki : Director & Original Creator, Yukari Kobayashi : Character Design, Kazunori Tanahashi : Episode Director"
Koiko no Mainichi,,Koiko no Mainichi,"Joji Akiyama : Original Creator, Noboru Ishiguro : Director, Youichi Takahashi : Music, Kiyoshi Kofugata : Producer, Yasuhiro Tazaki : Producer"
Kubire 3 Shimai,,,
The Elder Sister-Like One,,The Elder Sister-Like One,Pochi Iida : Original Creator
Hu Lu Xiao Jin Gang,,,
Norabbits' Minutes,,,Hidemasa Tasaka : Producer
Tokai no Butchy,,,"Eiichi Yamamoto : Director, Kensaku Tanikawa : Music, Minoru Kubota : Producer, Yoshihiro Shimizu : Producer"
Yonimo Osoroshii Nihon Mukashibanashi,,,
Moshi Juexing Zhi Suyuan,,,
LOTUS,,,"Nobuhiro Aihara : Director, Linda : Music"
Nosferatu Maiden,,,"Chinami Taniguchi : Director, Mio Adachi : Music, Koji Yamamura : Producer"
Chiyu Mahou no Machigatta Tsukaikata: Senjou wo Kakeru Kaifuku Youin,,"Chiyu Mahou no Machigatta Tsukaikata: Senjou wo Kakeru Kaifuku Youin (Light Novel), Chiyu Mahou no Machigatta Tsukaikata: Senjou wo Kakeru Kaifuku Youin","Kurokata : Original Creator, Keg : Original Character Design"
Truncation,,,Tarafu Otani : Director
Ichi-gwankoku,,,Ryo Hirano : Director
Shinya Doubutsuen,,,Ryo Hirano : Director
Robocar Poli 3rd Season,,,
Robocar Poli 4th Season,,,
"Wupo, Eyu He Xiao Gu Niang",,,
Dong Hai Xiao Shao Bing,,,
Hong Jun Qiao,,,
Kongque Gongzhu,,,
Huo Tong,,,
Mao Mi De Hu Zi,,,
Tai Lyu,,,
Yuan Xing Bi Lu,,,
Jing Ma Zhanshi,,,
Independent Animation Festival the 06th Opening Animation,,,Naoya Ishikawa : Director
Otousan no Kutsu,,,Naoya Ishikawa : Director & Screenplay
Xing Hai Qishi: Part III,,,Wang Jian : Director
newspaper,,,Satoh Yoshinao : Director
Niru Kajitsu: Ironina,,,"Akashi : Director, Nilfruits : Producer & Song Composition & Song Lyrics, Flower : Song Performance"
Hello Jadoo 3,,,
Hello Jadoo Movie,,,
Youkoso! Ecolo Shima,,,
Kaijuu Decode,,,
Kakuza Tousan,,,
Gozonji! Kakuza Tousan,,,
Kakugen! Kakuza Tousan,,,
Man with a Mission the Animation,,,Taku Inoue : Director
Grami's Circus Show,,,
Renlei Bowuguan,,,
Rilakkuma's Theme Park Adventure,,,Masahito Kobayashi : Director
Yoi Kono Tanoshii Christmas,,,Taku Sugiyama : Director
My Friend's Little Sister Has It In for Me!,,"My Friend's Little Sister Has It In for Me! (Light Novel), My Friend's Little Sister Has It In for Me!",
Summer Time Rendering,,Summer Time Rendering,"Yasuki Tanaka : Original Creator, Ayumu Watanabe : Director, Hiroshi Seko : Screenplay & Series Composition, Keiichi Okabe : Music, Keigo Hoashi : Music, Ryuuichi Takada : Music, Miki Matsumoto : Character Design"
Pleasant Goat and Big Big Wolf: Mighty Little Defenders,,,
Kidou,,,"Nobuhiro Aihara : Director, Shigenobu Nakamura : Music"
The Story of a Motorbike,,,"Duanmu Junqing : Director, Shogo Isozaki : Music, Koji Yamamura : Producer"
Heroine Tarumono! Kiraware Heroine to Naisho no Oshigoto,,,"Honeyworks : Original Creator & Song Composition, Noriko Hashimoto : Director, Yoshimi Narita : Screenplay & Series Composition, Moe Hyuuga : Music, Kaori Ishii : Character Design & Chief Animation Director, Yomogiko Murano : Photography Director, Ryousuke Obokata : Art Director, Tomoko Yamazaki : Color Design"
Let’s Just Get It Started,,,Shishi Yamazaki : Director & Song Lyrics & Song Performance
Clown's dream,,,Maki Shimano : Director
Wander,,,Shogo Hara : Director & Music
Xiao Fa Ming Jia,,,
Shan Yang He Lang,,,
Shine Post,,"Shine Post (Light Novel), Shine Post","Buriki : Original Character Design, Kei Oikawa : Director, Spp : Series Composition, Yoshihiro Osada : Character Design, Rakuda : Screenplay, Tatsuto Higuchi : Screenplay"
McDull: Xiang Dang Dang,,,
Xiao Tiezhu,,,
Xiao Xiao Ying Xiong,,,
Si Yaodai,,,
Zhen Jia Li Kui,,,
Hong Se Xin Hao,,,
Mifeng Yu Qiuyin,,,
Kai Chai Guniang,,,
Tianyuan Xiao Jingling,,,
Meg & Patron: Ending Song,,,"Takashi Ohashi : Director, Meg & Patron : Song Composition & Song Performance"
Time Autobahn,,,"Sijia Luo : Director, Hanako Yonai : Music, Mitsuko Okamoto : Producer"
Perestroika,,,"Ryousuke Aoike : Director, Hitomi Shimizu : Music"
Nyani ga Nyandaa Nyandaa Kamen no Yuukai Boushi: Miiko-chan Chanto Check!!,,,
Norasco (2014),,,
Zhu Zhu Xia Movie 5: Bukesiyi de Shijie,,,
Apo Apo World: Giant Baba 90-bun Ippon Shoubu,,,
Kara The Animation,,,
Hai! Akko Desu: Minna no Koutsuu Anzen,,,
Awajishima no Shichifukujin,,,
DREAMLAND,,,"Mirai Mizue : Director, Scarlatti Goes Electro : Music, Tamaki Okamoto : Producer"
CreepHyp: Busu,,,"Ac-Bu : Director, Creephyp : Music"
Taiban!,,,
Grief Work.,,,Haruka Suzuki : Director
Kung Food 2nd Season,,,
Kung Food 3rd Season,,,
Jintian Kaishi Zuo Mingxing 2nd Season,,,
Kuaile Dongxi,,,
Kuaile Xiao Dongxi,,,
Zhen Dao Ge: Chenshi Hang,,,
Qi Yu Chengyu Gushi Guwu Pian,,,
"Oh, Suddenly Egyptian God 2nd Season",,,
Fate/Kaleid Liner Prisma Illya (New),,"Fate/Kaleid Liner Prisma Illya, Fate/Kaleid Liner Prisma Illya 2wei!, Fate/Kaleid Liner Prisma Illya 3rei!!, Fate/Kaleid Liner Prisma Illya (Light Novel)",Hiroshi Hiroyama : Original Creator
Jia Er Mai Xing,,,
Qiang Zhen Tou,,,
McDull: Wo He Wo Mama,,,
Meitounao He Bugaoxing TV,,,
Nan Guo Xian Sheng,,,
Xiao Xiao Ji Qi Ren,,,
Shan Liang De Xia Wu Dong,,,
Da Luo Bo,,,
Yi Zhi Xie,,,
Ali Baba Zhi Zheng Nengliang Zhi Lu,,,
Way Home,,,"Erick Oh : Director, Beatweiser : Music"
Symphony,,,"Erick Oh : Director, Antonio Vivaldi : Music"
Yu-Gi-Oh! GORUSH!!,,,"Kazuki Takahashi : Original Creator, Nobuhiro Kondou : Director, Kazuko Tadano : Character Design, Hiromi Matsushita : Character Design"
Teppen—!!!!!!!!!!!!!!!,,Teppen—!!! (Inujun),
Vampire,,Vampires,"Osamu Tezuka : Original Creator, Hayashi Hikaru : Music"
The Rising of the Shield Hero 2nd Season,,"The Rising of the Shield Hero (Light Novel), The Rising of the Shield Hero, The Rising of the Shield Hero Anthology: Raphtalia to Issho","Yusagi Aneko : Original Creator, Masato Jinbou : Director, Kevin Penkin : Music, Masahiro Suwa : Character Design"
Fettu to Ccine to Gummi Seijin,,,Ryousuke Aoike : Director
Kaze no Sei,,,
Konglong Baobei Zhi Longshen Yongshi 2,,,
Zumomo to Nupepe,,,"Kei Yoshimizu : Director, Noriyuki Nakamura : Director, Hiroshi Igarashi : Music, Rumparo Tita : Character Design"
Chuanyue Huoxian: Youling Jihua,,,
"Gogo 2-ji, Onshitsu nite",,,"Yumi Kawai : Director, Haruna Maemura : Music, Mitsuko Okamoto : Producer"
Hole,,,"Atsushi Makino : Director, Shiro Murakami : Music"
Seijaku,,,"Simon Feat : Director, Chikara Uemizutaru : Music, Koji Yamamura : Producer"
Kasa,,,"Huang Wenrui : Director, Naoki Nakasima : Music, Koji Yamamura : Producer"
Beginning,,,
Kung Food,,,
Seer 8th Season,,,
Seer 9th Season,,,
Shuofeng: Po Zhenzi,,,
I think you're a little confused,,,"Iku Ogawa : Director, Soyoka Hayashi : Music, Yuichi Ito : Producer"
Line Rangers: Cinematic,,,
Mofa KK: Shenmi Jingling Dao,,,
Osomatsu-san (2022),,"Osomatsu-kun, Osomatsu-san",
Kateikyoushi no Jump CM,,,
Isekai Yakkyoku,,"Isekai Yakkyoku (Light Novel), Isekai Yakkyoku",Liz Takayama : Original Creator
GAVORA,,,"Nobuhiro Aihara : Director, Ra : Music"
Karasu,,,"Nobuhiro Aihara : Director, Matsuo Ouno : Music"
Yi Shijie Zhongyao Pu: Part II,,Yi Shijie Zhongyao Pu,Yu Gong : Director
Yike Da Baicai,,,
Jinbi Guo Youji,,,
Hulu Xiao Jin Gang,,,
McDull: Boluo You Wang Zi,,,
Jin Se De Hai Luo,,,
Aware! Meisaku-kun 3,,,"Taketo Shinkai : Director, Jun Oson : Character Design"
Xiao Shi Zhu,,,
Shan Yang Hui Le Jia,,,
Gals,,,"Caori Murata : Director, Eri Yokosuka : Music, Taruto Fuyama : Producer"
Ani ni Tsukeru Kusuri wa Nai! 5,,Ani ni Tsukeru Kusuri wa Nai!,
The Deer King,,Shika no Ou: Yuna to Yakusoku no Tabi,"Nahoko Uehashi : Original Creator, Masayuki Miyaji : Director, Masashi Andou : Director & Animation Director & Character Design, Harumi Fuuki : Music, Hiroshi Oono : Art Director, Satoshi Hashimoto : Color Design, Hiromi Kikuta : Sound Director, Taku Kishimoto : Screenplay"
Mutsu Gokudo: Mitsudango Kousou Hen,,,
Nyani ga Nyandaa Nyandaa Kamen no Koutsuu Anzen,,,
Pittanko! Taiyou-sensei to Pittanko,,,Motohiro Shirakawa : Director
Bleach: Sennen Kessen-hen,,Bleach,"Tite Kubo : Original Creator, Tomohisa Taguchi : Director, Shirou Sagisu : Music, Masashi Kudou : Character Design"
Pipilu Rangers,,,"Chang-Hwan Sin : Director, Seung-Jun Sin : Music"
Surf Side High-School,,,"Kenichi Maejima : Director, Jou Tanaka : Character Design, Tetsuo Genshou : Producer"
Panda-chan no Koutsuu Anzen,,,
Xiong Bing Lian 3,,,
Aria the Benedizione,,Aria,"Kozue Amano : Original Creator, Takahiro Natori : Director, Takeshi Senoo : Music, Choro Club : Music, Yoko Ito : Character Design"
Sun Rise & Set,,,"Hajime Kimura : Director, Moe Hyuuga : Music"
Meishi Da Maoxian: Yingxiong Hui,,,
Seer 10th Season,,,
Seer 11th Season,,,
Seer Da Dianying: Xunzhao Fenghuang Shenshou,,,
DOTA: Dragon's Blood 2nd Season,,,
Binfen Baobao,,,
Xiang Shi Chuanshuo,,,
Mizushiri Yoriko no Yorinuki Yoriko-san,,,Yoriko Mizushiri : Director
Metal Goddess Soldier 2nd Season,,Metal Goddess Soldier,
OTMGirls no Yokiyoki Channel,,,
Aware! Meisaku-kun 4,,,"Taketo Shinkai : Director, Jun Oson : Character Design"
Ban Ye Ji Jiao,,,
Notre maison,,,"Caori Murata : Director, Koji Yamamura : Producer"
Karen Luna Zhi Richang,,,
Wo Jiao Bi Yun Tao,,,
Ka Ka Kuaile Chengzhang,,,
Mira He Becky,,,
Saibei Chengzhang Ji,,,
Xiao Mijiu Dalu You Li Ji,,,
Zhandou Wang Zhi Jufeng Zhan Hun 5: Heti Fanwai Pian,,,
PIKASONIC & Tatsunoshin: Lockdown,,,"Omy : Director, Pikasonic : Song Performance, Tatsunoshin : Song Performance, Neona : Song Performance"
Nengajou 2021: Mugen Shougatsu,,,Keiichi Arawi : Director
Wan Yu Feng Shen,,,
Ye Che,Violence,,Joe Hsieh : Director
Chibi Maruko-chan: Jishin wo Kangaeru,,Chibi Maruko-chan,
Boku wa Robot Goshi no Kimi ni Koi wo Suru,,,
A Jewish Girl in Shanghai: The Mystery of the Necklace,,,
Yocchan no Fushigi na Crayon,,,
Ma Shen,,,Sun Meng : Director
Yume no Majutsushi,,,
Kainar Asy-Tac Fronteer OVA,,,
Kizudarake no Ringo,,,
Jishin da!! Mii-chan no Bousai Kunren,,,
"Gomen ne, Mii-chan",,,
Ponta to Ensoku,,,
Tokyo Mew Mew New,,"Tokyo Mew Mew, Tokyo Mew Mew a la Mode","Takahiro Natori : Director, Yuka Yamada : Series Composition, Satoshi Ishino : Character Design, Toshiki Kameyama : Sound Director"
Ari to Hato (1953),,,
Sum Sok Chingu Stonyz,,,"Haseop Kim : Director, Tae-Yeong Park : Director"
Starlight Scramble Renai Kouhosei,,,"Hideki Tonokatsu : Director & Series Composition, Harukichi Yamamoto : Music, Masahiro Koyama : Character Design"
